Date,Description,Amount,Running Bal.
02/13/2024,"TARGET 00028452",-99.16,25602.68
02/15/2024,"PEETS COFFEE #03178",-260.78,25341.90
02/16/2024,"SPOTIFY USA",-45.62,25296.28
02/17/2024,"HOME DEPOT #0658",-389.20,24907.08
02/19/2024,"WHOLEFDS MKT #10234",-30.56,24876.52
02/19/2024,"SPOTIFY USA",-242.95,24633.57
02/20/2024,"HOME DEPOT #0658",-115.04,24518.53
02/21/2024,"ZOOM.US 888-799-9666",-47.22,24471.31
02/21/2024,"CVS/PHARMACY #02817",-77.76,24393.55
02/22/2024,"COMCAST CABLE COMM",-406.44,23987.11
02/23/2024,"INTEREST PAYMENT",964.95,24952.06
02/24/2024,"ZOOM.US 888-799-9666",-299.03,24653.03
02/24/2024,"SPOTIFY USA",-436.03,24217.00
02/24/2024,"STARBUCKS STORE 08812",-25.89,24191.11
02/26/2024,"LYFT RIDE SUN 2PM",-73.79,24117.32
02/26/2024,"SHELL OIL 57544228902",-269.18,23848.14
02/27/2024,"REFUND AMAZON.COM",899.44,24747.58
02/29/2024,"REFUND AMAZON.COM",2000.03,26747.61
03/01/2024,"DELTA AIR LINES 0067119",-110.07,26637.54
03/01/2024,"APPLE.COM/BILL",-207.65,26429.89
03/01/2024,"PEETS COFFEE #03178",-448.26,25981.63
03/03/2024,"TRADER JOE'S #544 QPS",-62.64,25918.99
03/03/2024,"AT&T *PAYMENT 800-288-2020",-130.75,25788.24
03/05/2024,"CHIPOTLE 2645 ONLINE",-442.79,25345.45
03/05/2024,"ZOOM.US 888-799-9666",-137.17,25208.28
03/05/2024,"WHOLEFDS MKT #10234",-334.99,24873.29
03/06/2024,"SPOTIFY USA",-323.91,24549.38
03/08/2024,"TRADER JOE'S #544 QPS",-229.17,24320.21
03/08/2024,"INTEREST PAYMENT",2911.25,27231.46
03/08/2024,"NETFLIX.COM",-287.97,26943.49
03/08/2024,"ZOOM.US 888-799-9666",-318.58,26624.91
03/08/2024,"VENMO CASHOUT",1932.29,28557.20
03/10/2024,"PGE WEB ONLINE",-60.40,28496.80
03/11/2024,"STARBUCKS STORE 08812",-404.87,28091.93
03/13/2024,"WHOLEFDS MKT #10234",-161.42,27930.51
03/14/2024,"NETFLIX.COM",-416.85,27513.66
03/14/2024,"UBER TRIP HELP.UBER.COM",-397.05,27116.61
03/14/2024,"DELTA AIR LINES 0067119",-352.84,26763.77
03/16/2024,"CVS/PHARMACY #02817",-122.63,26641.14
03/17/2024,"TARGET 00028452",-102.82,26538.32
03/18/2024,"CVS/PHARMACY #02817",-103.04,26435.28
03/19/2024,"SHELL OIL 57544228902",-435.22,26000.06
03/20/2024,"COMCAST CABLE COMM",-306.90,25693.16
03/21/2024,"WHOLEFDS MKT #10234",-395.10,25298.06
03/21/2024,"TRADER JOE'S #544 QPS",-20.58,25277.48
03/22/2024,"DELTA AIR LINES 0067119",-198.35,25079.13
03/22/2024,"PEETS COFFEE #03178",-88.37,24990.76
03/24/2024,"LYFT RIDE SUN 2PM",-416.77,24573.99
03/26/2024,"SPOTIFY USA",-166.12,24407.87
03/28/2024,"CHIPOTLE 2645 ONLINE",-143.66,24264.21
03/30/2024,"LYFT RIDE SUN 2PM",-141.60,24122.61
03/31/2024,"APPLE.COM/BILL",-251.05,23871.56
04/01/2024,"COMCAST CABLE COMM",-305.92,23565.64
04/03/2024,"COMCAST CABLE COMM",-248.15,23317.49
04/04/2024,"PGE WEB ONLINE",-354.34,22963.15
04/05/2024,"SPOTIFY USA",-231.74,22731.41
04/07/2024,"REFUND AMAZON.COM",2340.30,25071.71
04/07/2024,"CVS/PHARMACY #02817",-303.90,24767.81
04/07/2024,"PAYROLL DEPOSIT ACME CORP",894.71,25662.52
04/09/2024,"SHELL OIL 57544228902",-206.84,25455.68
04/11/2024,"TARGET 00028452",-181.95,25273.73
