Details,Posting Date,Description,Amount,Type,Balance
CREDIT,02/06/2024,"INTEREST PAYMENT",3316.63,ACH_CREDIT,23795.20
DEBIT,02/07/2024,"CHIPOTLE 2645 ONLINE",-192.43,ACH_DEBIT,23602.77
DEBIT,02/09/2024,"SPOTIFY USA",-321.83,ACH_DEBIT,23280.94
DEBIT,02/11/2024,"HOME DEPOT #0658",-405.18,ACH_DEBIT,22875.76
DEBIT,02/11/2024,"SHELL OIL 57544228902",-154.46,ACH_DEBIT,22721.30
DEBIT,02/11/2024,"AMAZON.COM*MK3HQ8EB2",-35.20,ACH_DEBIT,22686.10
CREDIT,02/11/2024,"PAYROLL DEPOSIT ACME CORP",3015.74,ACH_CREDIT,25701.84
DEBIT,02/13/2024,"TARGET 00028452",-99.16,ACH_DEBIT,25602.68
DEBIT,02/15/2024,"PEETS COFFEE #03178",-260.78,ACH_DEBIT,25341.90
DEBIT,02/16/2024,"SPOTIFY USA",-45.62,ACH_DEBIT,25296.28
DEBIT,02/17/2024,"HOME DEPOT #0658",-389.20,ACH_DEBIT,24907.08
DEBIT,02/19/2024,"WHOLEFDS MKT #10234",-30.56,ACH_DEBIT,24876.52
DEBIT,02/19/2024,"SPOTIFY USA",-242.95,ACH_DEBIT,24633.57
DEBIT,02/20/2024,"HOME DEPOT #0658",-115.04,ACH_DEBIT,24518.53
DEBIT,02/21/2024,"ZOOM.US 888-799-9666",-47.22,ACH_DEBIT,24471.31
DEBIT,02/21/2024,"CVS/PHARMACY #02817",-77.76,ACH_DEBIT,24393.55
DEBIT,02/22/2024,"COMCAST CABLE COMM",-406.44,ACH_DEBIT,23987.11
CREDIT,02/23/2024,"INTEREST PAYMENT",964.95,ACH_CREDIT,24952.06
DEBIT,02/24/2024,"ZOOM.US 888-799-9666",-299.03,ACH_DEBIT,24653.03
DEBIT,02/24/2024,"SPOTIFY USA",-436.03,ACH_DEBIT,24217.00
DEBIT,02/24/2024,"STARBUCKS STORE 08812",-25.89,ACH_DEBIT,24191.11
DEBIT,02/26/2024,"LYFT RIDE SUN 2PM",-73.79,ACH_DEBIT,24117.32
DEBIT,02/26/2024,"SHELL OIL 57544228902",-269.18,ACH_DEBIT,23848.14
CREDIT,02/27/2024,"REFUND AMAZON.COM",899.44,ACH_CREDIT,24747.58
CREDIT,02/29/2024,"REFUND AMAZON.COM",2000.03,ACH_CREDIT,26747.61
DEBIT,03/01/2024,"DELTA AIR LINES 0067119",-110.07,ACH_DEBIT,26637.54
DEBIT,03/01/2024,"APPLE.COM/BILL",-207.65,ACH_DEBIT,26429.89
DEBIT,03/01/2024,"PEETS COFFEE #03178",-448.26,ACH_DEBIT,25981.63
DEBIT,03/03/2024,"TRADER JOE'S #544 QPS",-62.64,ACH_DEBIT,25918.99
DEBIT,03/03/2024,"AT&T *PAYMENT 800-288-2020",-130.75,ACH_DEBIT,25788.24
DEBIT,03/05/2024,"CHIPOTLE 2645 ONLINE",-442.79,ACH_DEBIT,25345.45
DEBIT,03/05/2024,"ZOOM.US 888-799-9666",-137.17,ACH_DEBIT,25208.28
DEBIT,03/05/2024,"WHOLEFDS MKT #10234",-334.99,ACH_DEBIT,24873.29
DEBIT,03/06/2024,"SPOTIFY USA",-323.91,ACH_DEBIT,24549.38
DEBIT,03/08/2024,"TRADER JOE'S #544 QPS",-229.17,ACH_DEBIT,24320.21
CREDIT,03/08/2024,"INTEREST PAYMENT",2911.25,ACH_CREDIT,27231.46
DEBIT,03/08/2024,"NETFLIX.COM",-287.97,ACH_DEBIT,26943.49
DEBIT,03/08/2024,"ZOOM.US 888-799-9666",-318.58,ACH_DEBIT,26624.91
CREDIT,03/08/2024,"VENMO CASHOUT",1932.29,ACH_CREDIT,28557.20
DEBIT,03/10/2024,"PGE WEB ONLINE",-60.40,ACH_DEBIT,28496.80
DEBIT,03/11/2024,"STARBUCKS STORE 08812",-404.87,ACH_DEBIT,28091.93
DEBIT,03/13/2024,"WHOLEFDS MKT #10234",-161.42,ACH_DEBIT,27930.51
DEBIT,03/14/2024,"NETFLIX.COM",-416.85,ACH_DEBIT,27513.66
DEBIT,03/14/2024,"UBER TRIP HELP.UBER.COM",-397.05,ACH_DEBIT,27116.61
DEBIT,03/14/2024,"DELTA AIR LINES 0067119",-352.84,ACH_DEBIT,26763.77
DEBIT,03/16/2024,"CVS/PHARMACY #02817",-122.63,ACH_DEBIT,26641.14
DEBIT,03/17/2024,"TARGET 00028452",-102.82,ACH_DEBIT,26538.32
DEBIT,03/18/2024,"CVS/PHARMACY #02817",-103.04,ACH_DEBIT,26435.28
DEBIT,03/19/2024,"SHELL OIL 57544228902",-435.22,ACH_DEBIT,26000.06
DEBIT,03/20/2024,"COMCAST CABLE COMM",-306.90,ACH_DEBIT,25693.16
DEBIT,03/21/2024,"WHOLEFDS MKT #10234",-395.10,ACH_DEBIT,25298.06
DEBIT,03/21/2024,"TRADER JOE'S #544 QPS",-20.58,ACH_DEBIT,25277.48
DEBIT,03/22/2024,"DELTA AIR LINES 0067119",-198.35,ACH_DEBIT,25079.13
DEBIT,03/22/2024,"PEETS COFFEE #03178",-88.37,ACH_DEBIT,24990.76
DEBIT,03/24/2024,"LYFT RIDE SUN 2PM",-416.77,ACH_DEBIT,24573.99
DEBIT,03/26/2024,"SPOTIFY USA",-166.12,ACH_DEBIT,24407.87
DEBIT,03/28/2024,"CHIPOTLE 2645 ONLINE",-143.66,ACH_DEBIT,24264.21
DEBIT,03/30/2024,"LYFT RIDE SUN 2PM",-141.60,ACH_DEBIT,24122.61
DEBIT,03/31/2024,"APPLE.COM/BILL",-251.05,ACH_DEBIT,23871.56
DEBIT,04/01/2024,"COMCAST CABLE COMM",-305.92,ACH_DEBIT,23565.64
DEBIT,04/03/2024,"COMCAST CABLE COMM",-248.15,ACH_DEBIT,23317.49
DEBIT,04/04/2024,"PGE WEB ONLINE",-354.34,ACH_DEBIT,22963.15
DEBIT,04/05/2024,"SPOTIFY USA",-231.74,ACH_DEBIT,22731.41
CREDIT,04/07/2024,"REFUND AMAZON.COM",2340.30,ACH_CREDIT,25071.71
DEBIT,04/07/2024,"CVS/PHARMACY #02817",-303.90,ACH_DEBIT,24767.81
CREDIT,04/07/2024,"PAYROLL DEPOSIT ACME CORP",894.71,ACH_CREDIT,25662.52
DEBIT,04/09/2024,"SHELL OIL 57544228902",-206.84,ACH_DEBIT,25455.68
DEBIT,04/11/2024,"TARGET 00028452",-181.95,ACH_DEBIT,25273.73
